"Task List","Task Name","Parent Task","Owner","Duration (days)","Dependency","Description"
"M1 - Design & Contracts","Detailed UX wireframes","","PL + AL","25","","B1.1 - RFQ M1 deliverable (Mock UI Wireframes for SG and DRS Applications). Parent for the two surface tracks."
"M1 - Design & Contracts","SG-side UX wireframes","Detailed UX wireframes","B","15","","B1.1 SG surfaces: login/dashboard, GIS authoring (gaming area/AOP/FEBA/VA), scenario tree, entity edit panels, map tools, EW library, environment config, compute/exercise control, telemetry panels, reports, admin."
"M1 - Design & Contracts","DRS-side UX wireframes","Detailed UX wireframes","G","10","","B1.1 DRS surfaces: dashboard + health indicators, per-variant monitor-scan, sent/receive logs, LRU/subsystem/comm-link health, IP config, per-variant control, Kafka consumer health."
"M1 - Design & Contracts","Typed-entity DTO spec","","B + AL","4","","B1.25 - Transmitter/Receiver/Antenna field definitions, ranges, relationships. Build-blocker for B."
"M1 - Design & Contracts","Blue/Red Line entity mapping decision","","AL + B","2","","B1.15 - map RFQ Blue/Red Line vocabulary onto v2 STK entity types; likely a side attribute (Blue/Red/Neutral) + color coding. New ADR."
"M1 - Design & Contracts","RBAC role definitions","","E + AL","3","","B1.16 - SG Operator / DRS Engineer / Admin roles; per-role feature/permission grants; shared RBAC store."
"M1 - Design & Contracts","Auth lifecycle flow designs","","E + B + G","5","RBAC role definitions","B1.17 - sequence-diagram logout, JWT refresh, lockout, password change/reset, session timeout, re-auth on destructive actions, token revocation, concurrent-session policy."
"M1 - Design & Contracts","Report template catalogue","","PL + E + B","3","","B1.11 - report-template inventory (per-exercise summary, access-interval, post-exercise, mission summary) + per-template field-to-TimescaleDB mapping."
"M1 - Design & Contracts","CC integration API surface","","AL + PL","5","","B1.4 - define v2-decidable exposed surface (exercise-lifecycle topics, health push). EXTERNALLY BLOCKED on client CC requirements; design what v2 controls unilaterally."
"M1 - Design & Contracts","Security design baseline","","D + E","5","","B1.27 - threat model, data classification, AuthN/AuthZ posture, audit-log integrity, transport/secrets/supply-chain. Spec landed 2026-05-31; tracks the bar code review validates against."
"M1 - Design & Contracts","Contract artefact freeze","","F + B + D","5","Typed-entity DTO spec","B1.26 - freeze OpenAPI (incl. webapp endpoints) + scenario/DTO shapes + Kafka schemas. Partly done (contracts/ scaffolded); freeze when OpenAPI complete + B1.25 landed + consumers sign off."
"Infrastructure & Platform","Kafka KRaft broker setup","","D + A","3","","Native single-node Kafka 3.x KRaft on WS2 (no Docker). infrastructure/kafka/. Largely shipped."
"Infrastructure & Platform","Kafka topic provisioning scripts","","D","2","Kafka KRaft broker setup","Idempotent control-plane topic provisioner; topic naming signed off at contracts gate."
"Infrastructure & Platform","TimescaleDB schema + hypertables","","D + F","3","","PostgreSQL 16 + TimescaleDB 2.x; measurements hypertable + write-batching schema; hypertable init scripts."
"Infrastructure & Platform","DB foundation (SQLAlchemy + Alembic)","","F","3","TimescaleDB schema + hypertables","Async SQLAlchemy 2.0 + Alembic + asyncpg foundation in drs-server. Shipped for roster store."
"Infrastructure & Platform","Time synchronization service (NTP)","","AL + D","8","","B1.3 - Meinberg NTP SG<->WS2 (<=10ms); three-tier SyncStateEngine + Kafka publisher; SG banner host + exercise gating + SYNC_LOST auto-pause. Mostly implemented; Phase 7 load test open."
"Infrastructure & Platform","NTP install scripts + lab acceptance","Time synchronization service (NTP)","Ops + D","3","","B1.20 - vendor Meinberg MSI, distribute to air-gap mirror, run sg/ws2 install + smoke on lab hardware, capture offsets. Human-driven; gates B1.3 lab acceptance."
"Infrastructure & Platform","Windows Service units (NSSM)","","D","2","","Wrap drs-server / drs-bridge as Windows Services via NSSM/sc.exe."
"Infrastructure & Platform","Air-gap dependency vendoring process","","D","5","","B1.18 - packages/ layout, pip download + offline-verify, npm offline cache + Node 22 toolchain, PR-time check. Process documented; binary vendoring deferred to pre-delivery freeze."
"Infrastructure & Platform","JVM licence decision (Kafka runtime)","","PL + D","1","","B1.44 - accept OpenJDK/Temurin GPLv2+Classpath-Exception (record rationale) or select alternative. Blocks air-gap packaging of the Kafka runtime. DECISION REQUIRED."
